termid,docid
1,8322
22,2535
33,6724
35,1403
36,1680
74,2406
75,592
89,3402
92,1583
105,4390
107,7307
115,3081
139,3902
142,7092
156,8191
158,5641
159,2803
165,5990
174,8682
181,6658
191,6617
203,905
211,8127
240,1388
254,9538
278,619
280,3706
296,6214
319,6354
323,7594
325,5495
337,2945
364,4403
373,3449
374,3185
403,1064
410,8359
433,6517
436,890
444,3400
447,3691
469,8071
469,7100
472,5829
495,9458
497,9043
500,9493
518,7470
534,7698
547,540
547,4491
550,2457
558,5549
562,6250
563,3377
573,2880
575,1076
579,7627
579,9897
581,9229
594,9027
596,6857
601,5105
602,7115
613,5249
615,111
621,9369
645,7568
646,2061
658,1588
700,8491
712,3275
725,7743
731,5655
732,9016
751,7003
762,5519
763,3666
773,4041
778,7222
792,8171
809,5336
812,5605
818,3222
821,8974
829,9902
845,9685
849,1300
860,9121
862,6381
869,5042
871,230
873,7954
875,7445
882,6094
888,217
895,5255
904,4162
905,8190
906,7039
922,8700
932,5658
943,7342
960,7962
962,4183
963,475
987,4485
989,6048
1013,7711
1019,1024
1026,711
1027,5391
1036,9315
1050,3897
1069,3484
1074,2222
1093,6911
1115,518
1159,767
1168,9906
1173,9919
1188,7007
1190,2561
1210,5656
1213,6832
1217,897
1221,1646
1231,3771
1238,5597
1271,5903
1272,8611
1274,191
1292,9019
1300,3312
1305,6345
1306,7766
1326,9474
1329,9237
1330,7626
1337,2621
1351,2613
1394,2403
1395,3216
1400,5825
1409,6001
1413,1342
1454,5592
1479,4393
1492,7345
1497,2577
1503,3912
1516,8831
1521,6389
1528,7998
1535,10
1536,4935
1546,9023
1562,2710
1567,5593
1572,6016
1582,528
1586,2421
1606,4036
1608,6791
1620,9925
1627,6012
1630,3207
1648,6535
1676,4924
1693,3584
1693,9193
1715,6298
1716,1693
1717,1777
1724,4702
1733,2710
1747,3517
1750,3251
1758,5146
1760,9015
1763,7848
1779,6829
1785,1363
1801,4016
1802,1880
1805,6784
1813,809
1826,1514
1829,6789
1832,4189
1837,4639
1845,4081
1880,1186
1897,4857
1916,1069
1921,7452
1933,9279
1937,3300
1954,7445
1979,8553
2021,9951
2032,6342
2036,8319
2040,820
2056,3383
2064,8737
2074,3646
2085,671
2089,4891
2090,1021
2117,8497
2119,6032
2120,6228
2141,9123
2158,4699
2170,6298
2175,7145
2181,4091
2186,5737
2198,4273
2230,588
2234,5592
2242,6227
2243,2637
2269,5904
2283,4661
2286,7594
2291,9061
2304,8008
2318,9264
2324,3458
2328,1973
2335,1339
2335,8058
2340,605
2385,4637
2387,5813
2391,4203
2398,8835
2400,364
2400,2231
2409,7848
2416,8310
2433,6529
2433,1596
2437,2185
2446,4421
2461,3211
2465,990
2466,6411
2488,2471
2489,4507
2498,5736
2540,8565
2541,1041
2544,690
2548,2680
2579,67
2584,9623
2590,6086
2590,2647
2595,8531
2600,6076
2611,9797
2613,4846
2613,802
2624,8044
2635,2662
2636,2292
2645,8151
2646,353
2648,9811
2658,6539
2677,6868
2681,4449
2688,1896
2718,6572
2721,9179
2725,9965
2726,4159
2738,1723
2749,9895
2755,8211
2761,4828
2777,8820
2777,790
2803,9651
2822,6257
2826,9056
2835,4333
2837,8234
2840,8647
2842,9180
2855,6514
2857,5613
2867,2254
2904,6859
2905,7884
2923,7247
2938,3755
2942,1134
2955,3181
2963,7187
2984,9535
2991,2586
2994,6107
3030,9848
3031,4516
3058,5955
3066,382
3096,6732
3100,6421
3100,1660
3116,4172
3124,1086
3142,3349
3142,9401
3143,2699
3157,7403
3172,3246
3197,3503
3207,6469
3216,592
3227,2870
3231,8040
3233,3103
3246,3334
3250,3478
3257,9288
3276,5130
3277,9534
3280,2149
3288,9822
3323,292
3328,8804
3340,1759
3349,4142
3360,8424
3367,9266
3369,6219
3373,7410
3375,5896
3382,9575
3388,9621
3388,4071
3397,4265
3401,3907
3401,5606
3406,64
3410,5505
3413,5851
3423,9305
3430,3157
3435,5166
3441,8780
3455,5392
3458,338
3487,1368
3491,395
3498,6385
3498,3665
3509,6764
3514,3866
3541,5612
3541,5670
3544,860
3561,2876
3562,7989
3563,420
3565,4081
3576,1002
3597,2328
3597,2268
3617,9768
3621,5153
3630,2541
3666,9300
3670,2620
3671,8283
3676,7384
3684,8045
3704,3035
3717,8597
3752,9821
3760,1459
3764,7275
3765,7875
3772,5660
3777,7715
3779,6547
3781,7126
3792,7371
3794,5324
3806,6573
3809,6300
3820,5886
3821,3926
3822,3464
3832,6636
3841,614
3864,1906
3877,3667
3882,9962
3882,9507
3886,8133
3900,6499
3925,50
3925,9454
3947,3344
3949,5876
3957,4524
3989,3951
4008,2635
4017,233
4022,4039
4022,605
4023,1664
4040,5449
4055,4434
4092,8658
4120,8870
4120,3242
4144,5747
4148,9378
4157,5797
4165,2004
4189,8390
4191,4101
4192,784
4196,8310
4209,7728
4216,475
4222,2173
4224,793
4240,3405
4260,6275
4280,7656
4282,4131
4294,5564
4295,9200
4296,2446
4303,6721
4334,4793
4335,3511
4337,282
4346,5792
4355,3189
4356,3770
4358,1561
4370,6866
4402,8027
4421,6842
4423,5942
4429,7754
4435,1779
4435,7649
4439,9568
4507,1899
4524,4489
4553,488
4563,4254
4566,5100
4566,4829
4569,1931
4588,7557
4599,9617
4599,8839
4601,4710
4606,8041
4615,6000
4630,6920
4658,7867
4666,8679
4666,1511
4670,6280
4687,900
4687,4303
4701,1588
4707,5798
4724,6868
4765,9604
4769,9771
4772,4040
4813,6175
4818,938
4824,9081
4843,9713
4845,470
4850,2436
4896,97
4904,4621
4909,9450
4916,2592
4921,2436
4928,4484
4931,4435
4953,252
4961,1296
4980,3352
4982,3236
