termid,docid
4380,6080
4749,6190
335,1645
3173,9260
1328,5909
3346,9025
1123,5219
1798,7300
1200,6650
3134,5374
2075,9416
3249,8174
602,3246
793,6253
1784,1629
3432,2808
2523,8666
2776,7545
9,4083
173,9323
3945,544
3982,3476
4141,5058
2691,2611
3017,2480
3158,5030
371,1812
3139,5037
1475,2945
3395,4947
906,7929
3247,8776
1596,323
3893,3499
3408,3422
3866,8764
240,9532
2276,6759
1887,2068
90,5242
3050,9500
350,4476
562,8414
3029,9925
122,6307
569,2537
3745,2106
2109,3914
605,2876
1502,4155
3369,6076
4405,4341
2157,1426
822,2112
2624,5060
3464,1244
1694,7769
1223,7822
3021,940
2512,4442
2089,6939
4530,86
2752,2451
2703,3897
1553,2937
1975,1577
272,4070
100,9659
2154,2246
1024,2993
3570,2612
4725,1915
4201,635
3744,352
2208,6
4892,480
4889,5575
2703,2159
3778,687
19,9965
244,3862
1834,8953
2589,2027
4459,1969
2897,8609
3604,3937
747,606
901,8449
2375,6866
2840,7597
2444,5123
2076,6966
274,8122
4443,780
4129,9273
4113,4891
4077,4642
583,5210
634,8578
2286,287
2916,1246
322,8991
148,8508
3724,1704
328,314
754,3830
275,2550
4432,8232
4696,5649
3786,8613
4130,5281
2731,6370
743,7438
1820,5084
3391,3696
3298,8884
1100,4995
4802,1898
3103,8229
4986,8414
1899,988
2082,5892
4742,8243
2101,2859
4253,997
545,5185
3191,6774
445,5286
1383,2605
2784,9154
4918,7645
2229,9513
1751,9725
1653,6501
1235,1633
3831,8400
1703,5367
4622,4020
725,2044
506,3496
1975,1288
1809,7131
4161,7390
24,4297
3351,8495
1605,3470
3416,2814
3308,251
716,3251
2064,8443
4483,1496
192,9342
1166,1200
3250,5185
2389,6359
128,8858
2471,9687
2481,895
1916,8959
1096,3599
3834,8114
4496,5263
2634,4327
3482,9209
3562,6133
3740,5717
1248,8364
5,7181
4092,7754
3396,7718
3604,8674
4488,8302
1608,4774
662,526
4841,784
2448,7664
332,6447
2589,4546
2649,7068
2496,822
4067,3519
3688,7097
1903,1502
4468,6736
3712,4376
1903,4047
3092,1152
722,294
2901,8700
2236,3641
928,4249
1610,8268
1593,1889
1860,654
1179,6879
1694,9641
1134,6978
873,6090
3116,975
1507,7932
4418,3053
4993,6445
2506,1817
1417,5407
2846,4465
3956,5402
1700,3270
1052,5311
3716,2192
3787,4848
847,971
3631,6898
1028,8552
303,1059
2067,9369
4227,2154
1491,5101
4815,7126
4842,308
289,7099
1311,9181
985,9914
3664,8988
2052,5361
2463,1447
3839,5529
4672,7840
236,4252
3058,1402
1635,13
3788,9298
4537,4621
4852,5647
2217,5143
4775,5578
4130,1174
1525,1474
3474,3482
1441,2281
2522,4163
4222,107
4841,3075
3238,2140
97,5901
3241,9911
675,1303
1255,7870
85,3667
2641,8063
1372,2803
1625,2982
1170,7474
907,3176
4690,7017
3383,6333
412,2371
2403,4883
4739,3315
4264,9838
1581,9664
164,8406
2503,5986
4551,1192
1216,2747
1217,2488
4177,9518
1391,7435
2881,6475
2224,2255
4928,9652
2326,1545
3176,9714
448,2539
2763,5266
4481,4116
635,2859
4750,6401
3255,2575
3180,5949
887,687
2603,5775
2062,7112
104,2157
3481,1480
3602,6941
2302,2700
3092,6023
1727,3690
283,3521
1515,6500
1895,5717
3721,4696
4486,3443
1295,1722
221,7082
3521,2548
2264,7726
2160,3417
3909,2106
3931,1466
2660,1294
1843,9806
2969,3909
3005,169
994,5357
4030,489
1849,8022
3466,8950
1380,3109
265,7391
220,3299
2048,1650
1950,7452
4043,3279
3065,5277
3038,1227
4319,1841
2836,5144
697,4006
2958,8375
4668,9711
4293,4572
3704,8284
3190,1221
2025,6254
2937,1442
2311,3491
3179,8224
2851,2436
838,2448
1086,6446
3288,7565
1106,6075
2802,7248
661,5748
140,5646
2790,4378
3253,1299
2660,6848
4754,8995
4735,3064
660,2815
4012,8818
4148,6680
4470,4840
2279,1444
1866,1224
3999,2360
1181,3674
1203,4523
1991,9092
4676,4731
455,7850
267,8708
4279,4139
3214,384
4971,6884
86,4329
2514,5773
2071,9998
1665,8594
512,7733
3968,9570
3343,1006
1329,5814
948,4610
3859,9008
4891,1544
463,1166
1807,4696
4434,8996
1305,8405
2380,7232
3049,9242
4680,995
2013,6654
2090,7712
2559,6884
3101,6491
706,7854
801,2745
1171,8443
3736,1953
925,5776
3928,6202
4103,4810
1247,4116
4627,7718
43,7903
2491,6635
2565,9535
872,9797
298,4442
2273,4312
820,1588
3586,1649
4028,9162
2425,3572
2172,4578
4495,8990
2611,6022
1865,7746
511,5917
4853,8583
3744,6694
4934,9499
3432,4703
2273,6211
2365,5051
1896,7593
3888,6246
1484,718
3069,2019
4421,605
2396,4837
4556,7919
2321,4600
988,4151
2592,3150
184,7469
635,5452
3708,6316
1228,3743
3261,1974
3623,7160
1005,200
1504,550
2881,1247
632,6445
4136,5835
1035,8667
2316,2927
2388,289
2218,897
1846,2238
1787,4493
4254,610
1906,8807
571,4843
939,8772
2154,120
2100,3214
1257,5007
4564,579
4633,5609
4366,2122
3228,4193
4055,54
2690,9114
2138,2752
537,6424
3267,8281
4499,3788
4521,7953
3233,4079
2442,7467
1856,8622
3583,9647
570,2145
2806,4558
3473,5956
986,6161
624,5251
4612,5466
1254,642
3908,3772
4815,71
2270,9917
2158,6
637,8092
2030,7008
531,9024
2379,8565
1159,4381
4078,4641
755,7433
4403,7096
2144,9894
170,7926
985,1300
3941,2236
1827,1902
2396,5605
3635,6768
1560,2094
3827,9841
1561,4532
3621,835
276,1947
2806,4050
1325,1774
2673,5614
1028,782
1736,5105
1705,3213
4887,3476
4633,2677
596,2878
4562,1909
2950,5895
